,Search Parameters,Year,Mo,Dy,Hr,Mn,Sec,Tsu,Vol,Location Name,Latitude,Longitude,Focal Depth (km),Mag,MMI Int,Deaths,Death Description,Missing,Missing Description,Injuries,Injuries Description,Damage ($Mil),Damage Description,Houses Destroyed,Houses Destroyed Description,Houses Damaged,Houses Damaged Description,Total Deaths,Total Death Description,Total Missing,Total Missing Description,Total Injuries,Total Injuries Description,Total Damage ($Mil),Total Damage Description,Total Houses Destroyed,Total Houses Destroyed Description,Total Houses Damaged,Total Houses Damaged Description,Country,Continent
68,,2016.0,7.0,31.0,9.0,18.0,17.0,,,CHINA:  GUANGXI PROVINCE,24.134,111.478,25.0,4.9,,,,,,,,,2.0,,,200.0,3.0,,,,,,,,2.0,,,200.0,3.0,CHINA,Asia
69,,2016.0,7.0,31.0,23.0,41.0,28.0,,,INDONESIA:  SUMBAWA ISLAND:  WEST NUSA TENGGARA,-8.194,117.814,21.0,5.6,6.0,,,,,4.0,1.0,,2.0,,,700.0,3.0,,,,,4.0,1.0,,2.0,,,700.0,3.0,INDONESIA,Asia
70,,2016.0,8.0,12.0,1.0,26.0,28.0,5604.0,,NEW CALEDONIA:  LOYALTY ISLANDS,-22.477,173.117,16.0,7.2,,,,,,,,,,,,,,,,,,,,,,,,,,NEW CALEDONIA,Oceania
71,,2016.0,8.0,15.0,2.0,58.0,0.0,,,PERU:  AREQUIPA,-15.64,-71.68,8.0,5.5,6.0,9.0,1.0,,,68.0,2.0,,2.0,605.0,3.0,671.0,3.0,9.0,1.0,,,68.0,2.0,,2.0,605.0,3.0,671.0,3.0,PERU,South America
72,,2016.0,8.0,19.0,7.0,33.0,11.0,5605.0,,SOUTH SANDWICH ISLANDS,-55.285,-31.877,10.0,7.4,,,,,,,,,,,,,,,,,,,,,,,,,,SOUTH SANDWICH ISLANDS,South America
73,,2016.0,8.0,20.0,9.0,1.0,26.0,5741.0,,JAPAN:  OFF EAST COAST HONSHU,40.394,143.68,10.0,6.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,JAPAN,Asia
74,,2016.0,8.0,24.0,1.0,36.0,2.0,,,"ITALY:  ACCUMOLI, ARQUATA, AMATRICE",42.704,13.238,4.0,6.2,9.0,299.0,3.0,15.0,1.0,368.0,3.0,5000.0,4.0,,3.0,,2.0,299.0,3.0,15.0,1.0,368.0,3.0,5000.0,4.0,,3.0,,2.0,ITALY,Europe
75,,2016.0,8.0,24.0,10.0,34.0,58.0,,,MYANMAR (BURMA): CHAUK,20.923,94.569,82.0,6.8,5.0,4.0,1.0,,,20.0,1.0,10.0,3.0,,,230.0,3.0,4.0,1.0,,,20.0,1.0,10.0,3.0,,,230.0,2.0,MYANMAR (BURMA),Not found
76,,2016.0,9.0,1.0,16.0,37.0,3.0,5606.0,,NEW ZEALAND:  GISBORNE,-37.359,179.146,19.0,7.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,NEW ZEALAND,Oceania
77,,2016.0,9.0,10.0,12.0,27.0,41.0,,,TANZANIA:  LAKE VICTORIA;  UGANDA: RAKAI,-1.036,31.618,40.0,5.9,,23.0,1.0,,,252.0,3.0,458.0,4.0,1172.0,4.0,6281.0,4.0,23.0,1.0,,,252.0,3.0,458.0,4.0,1172.0,4.0,6281.0,4.0,TANZANIA,Africa
78,,2016.0,9.0,11.0,13.0,10.0,7.0,,,BALKANS NW:  MACEDONIA,42.008,21.488,13.0,5.1,6.0,,,,,137.0,3.0,10.0,3.0,,,,1.0,,,,,137.0,3.0,10.0,3.0,,,,1.0,MACEDONIA,Europe
79,,2016.0,9.0,12.0,11.0,33.0,17.0,,,SOUTH KOREA:  GYEONGJU,35.781,129.216,13.0,5.4,6.0,1.0,1.0,,,14.0,1.0,21.0,3.0,,,106.0,3.0,1.0,1.0,,,14.0,1.0,21.0,3.0,,,106.0,3.0,SOUTH KOREA,Asia
